0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
sh.600000,2010-08-30,2010-06-30,0.126266,0.399208,,9082585865.130000,1.351734,69280734000.000000,11479059332.00,10303652460.00,sh.600000,2010-08-30,2010-06-30,,,,,,0.013368,sh.600000,2010-08-30,2010-06-30,0.621123,0.099895,0.339343,0.202128,0.339207,sh.600000,2010-08-30,2010-06-30,,,,0.084297,0.957296,23.416792
sh.600000,2011-08-16,2011-06-30,0.100533,0.405167,,12910687000.000000,1.231727,111436750000.000000,18653471415.00,14922777132.00,sh.600000,2011-08-16,2011-06-30,,,,,,0.013715,sh.600000,2011-08-16,2011-06-30,0.755719,0.378372,0.421477,0.131148,0.418333,sh.600000,2011-08-16,2011-06-30,,,,0.361487,0.945569,18.371914
sh.600000,2012-08-15,2012-06-30,0.110594,0.431612,,17265760000.000000,1.694025,156578274000.000000,18653471415.00,14922777132.00,sh.600000,2012-08-15,2012-06-30,,,,,,0.013984,sh.600000,2012-08-15,2012-06-30,0.216186,0.236715,0.337323,0.333333,0.334908,sh.600000,2012-08-15,2012-06-30,,,,0.237310,0.946024,18.526657
sh.600000,2013-08-14,2013-06-30,0.106458,0.419236,,19502000000.000000,1.950254,178774000000.000000,18653471415.00,14922777132.00,sh.600000,2013-08-14,2013-06-30,,,,,,0.014066,sh.600000,2013-08-14,2013-06-30,0.152278,0.142275,0.129503,0.130435,0.127552,sh.600000,2013-08-14,2013-06-30,,,,0.141644,0.945501,18.349021
sh.600000,2014-08-14,2014-06-30,0.107200,0.387294,,22867000000.000000,2.369103,226912000000.000000,18653471415.00,14922777132.00,sh.600000,2014-08-14,2014-06-30,,,,,,0.015517,sh.600000,2014-08-14,2014-06-30,0.169295,0.133136,0.172546,0.169394,0.168678,sh.600000,2014-08-14,2014-06-30,,,,0.130963,0.943688,17.758155
sh.600000,2015-08-20,2015-06-30,0.087578,0.341240,,24126000000.000000,2.587883,255438000000.000000,18653471415.00,14922777132.00,sh.600000,2015-08-20,2015-06-30,,,,,,0.016069,sh.600000,2015-08-20,2015-06-30,0.308659,0.171370,0.055058,0.054321,0.055041,sh.600000,2015-08-20,2015-06-30,,,,0.163349,0.937226,15.930117
sh.600000,2016-08-11,2016-06-30,0.081046,0.329066,,27040000000.000000,2.473416,262784000000.000000,21618279922.00,20518818557.00,sh.600000,2016-08-11,2016-06-30,,,,,,0.015779,sh.600000,2016-08-11,2016-06-30,0.209124,0.166724,0.120783,0.054936,0.119943,sh.600000,2016-08-11,2016-06-30,,,,0.163689,0.934788,15.334503
sh.600000,2017-08-30,2017-06-30,0.074617,0.342179,,28522000000.000000,1.939029,83354000000.000000,28103763899.00,28103763899.00,sh.600000,2017-08-30,2017-06-30,,,,,,0.014161,sh.600000,2017-08-30,2017-06-30,0.120243,0.101298,0.054808,0.021053,0.052111,sh.600000,2017-08-30,2017-06-30,,,,0.100020,0.933703,15.083598
sh.600000,2018-08-30,2018-06-30,0.065959,0.351342,,28900000000.000000,1.862287,,29352080397.00,28103763899.00,sh.600000,2018-08-30,2018-06-30,,,,,,0.013453,sh.600000,2018-08-30,2018-06-30,0.139222,0.029814,0.013253,-0.020619,0.014344,sh.600000,2018-08-30,2018-06-30,,,,0.021929,0.926553,13.615334
sh.600000,2019-08-24,2019-06-30,0.066587,0.332083,,32411000000.000000,2.025444,,29352080397.00,28103763899.00,sh.600000,2019-08-24,2019-06-30,,,,,,,sh.600000,2019-08-24,2019-06-30,0.117748,0.093265,0.121488,0.126316,0.123806,sh.600000,2019-08-24,2019-06-30,,,,0.091401,0.924973,13.328613
sh.600000,2020-08-29,2020-06-30,0.051763,0.288481,,29254000000.000000,1.899693,101407000000.000000,29352111310.00,28103794812.00,sh.600000,2020-08-29,2020-06-30,,,,,,,sh.600000,2020-08-29,2020-06-30,0.146376,0.129310,-0.097405,-0.102804,-0.098144,sh.600000,2020-08-29,2020-06-30,,,,0.128029,0.923924,13.144756
sh.600000,2021-08-28,2021-06-30,0.046233,0.310214,,30204000000.000000,2.017160,,29352156163.00,29352156163.00,sh.600000,2021-08-28,2021-06-30,,,,,,0.012115,sh.600000,2021-08-28,2021-06-30,0.155231,0.080044,0.032474,0.031250,0.030496,sh.600000,2021-08-28,2021-06-30,,,,0.073930,0.918694,12.299167
sh.600000,2022-08-27,2022-06-30,0.044527,0.310166,,30596000000.000000,1.817208,169811000000.000000,29352172360.00,29352172360.00,sh.600000,2022-08-27,2022-06-30,,,,,,0.011854,sh.600000,2022-08-27,2022-06-30,0.050124,0.047130,0.012978,0.010101,0.011261,sh.600000,2022-08-27,2022-06-30,,,,0.046824,0.918426,12.258792
sh.600000,2023-08-31,2023-06-30,0.032797,0.258851,,23615000000.000000,1.503636,167814000000.000000,29352175421.00,29352175421.00,sh.600000,2023-08-31,2023-06-30,,,,,,0.010345,sh.600000,2023-08-31,2023-06-30,0.040577,0.050148,-0.228167,-0.240000,-0.233181,sh.600000,2023-08-31,2023-06-30,,,,0.051119,0.919275,12.387695
sh.600000,2024-08-20,2024-06-30,0.036712,0.309627,,27324000000.000000,1.381567,161614000000.000000,29352177375.00,29352177375.00,sh.600000,2024-08-20,2024-06-30,,,,,,0.009665,sh.600000,2024-08-20,2024-06-30,0.045463,0.035965,0.157061,0.171053,0.166393,sh.600000,2024-08-20,2024-06-30,,,,0.035144,0.009185,12.276888
