股票代码,相对贴近度,分类
sh.600028,0.2622117932635348,很好
sh.600016,0.10278280531552322,好
sh.600050,0.08216655548819109,好
sh.600010,0.08007861346055058,好
sh.600000,0.07423997914262118,好
sh.600053,0.07348570853086044,好
sh.600036,0.07014304835233444,好
sh.600018,0.06859323474824194,好
sh.600019,0.06374194566708576,好
sh.600057,0.05503537549997384,良好
sh.600091,0.051425505793325284,良好
sh.600115,0.048412829455539014,良好
sh.600093,0.04603272474799947,良好
sh.600029,0.044500650334724084,良好
sh.600011,0.04346307366520031,良好
sh.600037,0.04226097796577743,良好
sh.600023,0.04164433986269705,良好
sh.600035,0.03940958823469791,差
sh.600104,0.03913819182655076,差
sh.600009,0.03753367595226082,差
sh.600030,0.03747225846427967,差
sh.600015,0.03710171993614589,差
sh.600022,0.0369317228472661,差
sh.600005,0.036719770959312545,差
sh.600086,0.03547237250287403,差
sh.600048,0.033721899310150856,差
sh.600058,0.03297471232670101,差
sh.600027,0.03230455967238069,差
sh.600052,0.03202064233901845,差
sh.600099,0.03199726278738408,差
sh.600055,0.031211147571645084,差
sh.600074,0.030862605503833983,差
sh.600083,0.03038766248254603,差
sh.600102,0.029920401279456076,差
sh.600054,0.028776278456954303,差
sh.600031,0.028054049363136515,差
sh.600012,0.02766285462855097,差
sh.600084,0.023279874775882545,很差
sh.600088,0.022375575331705515,很差
sh.600106,0.02210139317630168,很差
sh.600073,0.021848938524802557,很差
sh.600061,0.021136084471734227,很差
sh.600059,0.020741549495171614,很差
sh.600062,0.020723235537667386,很差
sh.600085,0.020681321960865525,很差
sh.600080,0.020438681463357908,很差
sh.600090,0.020411701854127485,很差
sh.600098,0.01929937158390398,很差
sh.600060,0.019105252839086775,很差
sh.600007,0.01863913797867447,很差
sh.600087,0.018091321225655273,很差
sh.600101,0.017824392339025212,很差
sh.600008,0.01759743083635529,很差
sh.600066,0.017585239331862675,很差
sh.600097,0.017341088535459553,很差
sh.600033,0.017290555180750157,很差
sh.600111,0.017050399574663425,很差
sh.600068,0.016910450469499877,很差
sh.600026,0.01681168728511464,很差
sh.600056,0.016556231844418443,很差
sh.600017,0.016121999183991997,很差
sh.600039,0.016064515945199417,很差
sh.600089,0.015951889953732302,很差
sh.600081,0.015728035491115074,很差
sh.600021,0.01526739976211694,很差
sh.600103,0.015106703630424868,很差
sh.600096,0.015099212136620634,很差
sh.600071,0.014958803785593737,很差
sh.600004,0.014693504758350483,很差
sh.600109,0.014622246346176097,很差
sh.600063,0.014528068748634998,很差
sh.600075,0.014417810356898786,很差
sh.600006,0.014293661642610849,很差
sh.600113,0.01402130905012164,很差
sh.600114,0.013613617875168509,很差
sh.600095,0.013073278505222314,很差
sh.600076,0.012717301830003604,很差
sh.600070,0.012714790784315123,很差
sh.600108,0.01268129259496474,很差
sh.600100,0.012633957414160422,很差
sh.600082,0.012375933243144574,很差
sh.600116,0.012076041104707764,很差
sh.600069,0.011899395141600877,很差
sh.600079,0.011866871196405868,很差
sh.600117,0.011521206215053831,很差
sh.600105,0.0113919195000245,很差
sh.600094,0.01123561299345541,很差
sh.600072,0.011100925796414203,很差
sh.600051,0.010099070011827173,很差
sh.600038,0.010067135627894058,很差
sh.600110,0.009994634076006086,很差
sh.600020,0.00985463675569535,很差
sh.600067,0.009741023573942858,很差
sh.600077,0.009619285346489198,很差
sh.600078,0.009241062317662354,很差
sh.600107,0.009050395918586435,很差
sh.600112,0.008164386165333392,很差
sh.600064,0.0067425504058901495,很差
